ticker,currency,company_name,exchange,exchange_short,timezone
BHGU.L,USD,BH GLOB/NPV VTG FPD,London Stock Exchange,LSE,Europe/London
TASE.L,USD,ISHS IV/SHS USD,London Stock Exchange,LSE,Europe/London
LCFE.L,USD,ETFS COMM/2X DAILY LONG COFFEE,London Stock Exchange,LSE,Europe/London
LLCT.L,USD,ETFS COMM/2X DAILY LONG LEAN HOGS,London Stock Exchange,LSE,Europe/London
SXLB.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
COPA.L,USD,ETFS COMM/COPPER,London Stock Exchange,LSE,Europe/London
OPPP.L,USD,ORIO PART / RED PREF,London Stock Exchange,LSE,Europe/London
92XY.L,USD,RUSHYDRO PJSC/S GDR 144A,London Stock Exchange,LSE,Europe/London
FRGE.L,USD,FRANKLIN LIB/UT USD,London Stock Exchange,LSE,Europe/London
LALU.L,USD,ETFS COMM/2X DAILY LONG ALUMINI,London Stock Exchange,LSE,Europe/London
LCTO.L,USD,ETFS COMM/2X DAILY LONG COFFEE,London Stock Exchange,LSE,Europe/London
HMXD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
N4US.L,USD,INVESCO MKT/SHS CL-USD,London Stock Exchange,LSE,Europe/London
XUCD.L,USD,XTRACK/SHS CL-1D USD,London Stock Exchange,LSE,Europe/London
GLDV.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
LCNY.L,USD,ETFS FORE/LONG CNY SHORT USD,London Stock Exchange,LSE,Europe/London
LKCA.L,USD,LUCKY CEM LTD/GDR 144A,London Stock Exchange,LSE,Europe/London
AWSR.L,USD,UBS(IRL)ETF/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
XMED.L,USD,XTRACKERS MSCI/USD,London Stock Exchange,LSE,Europe/London
PRCE.L,USD,GF INTER.-FTSE CHIN/USD,London Stock Exchange,LSE,Europe/London
IUCM.L,USD,ISHS V/SHS CL-USD (ACC) USD,London Stock Exchange,LSE,Europe/London
SG46.L,USD,SG ISSU/GOLD X3 DLY LG PERP ETN USD,London Stock Exchange,LSE,Europe/London
BUOY.L,USD,LYX. FLOATING RATE/USD,London Stock Exchange,LSE,Europe/London
XUT3.L,USD,X-TR.II-IBO.USD TR/USD,London Stock Exchange,LSE,Europe/London
XEOU.L,USD,XTRACKERS MSCI/USD,London Stock Exchange,LSE,Europe/London
FRGD.L,USD,FRANKLIN LIB/UT USD,London Stock Exchange,LSE,Europe/London
RUSB.L,USD,ITI FDS UC ETF/SH USD,London Stock Exchange,LSE,Europe/London
XUFN.L,USD,XTRACK/SHS CL-1D EUR,London Stock Exchange,LSE,Europe/London
MPLF.L,USD,Marble Point Loan Financing Ltd,London Stock Exchange,LSE,Europe/London
SG41.L,USD,SG ISSU/COPPER X5 DLY SHT PERP ETN,London Stock Exchange,LSE,Europe/London
OSB2.L,USD,ETFS OIL/ETFS BRENT OIL 2YR,London Stock Exchange,LSE,Europe/London
SG57.L,USD,SG ISSU/SILVER X5 DLY SHT PERP ETN,London Stock Exchange,LSE,Europe/London
SNZD.L,USD,ETFS FORE/SHORT NZD LONG USD,London Stock Exchange,LSE,Europe/London
FCRU.L,USD,ETFS COMM/LONGER DATED WTI CRUD,London Stock Exchange,LSE,Europe/London
PHAG.L,USD,ETFS META/ETFS PHYSICAL SILVER(GBP),London Stock Exchange,LSE,Europe/London
FCTR.L,USD,WISDOMTREE/SHS CL-ACC USD,London Stock Exchange,LSE,Europe/London
BCCU.L,USD,UBS ETFS PLC/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
CBU7.L,USD,CS ETF/SHS USD,London Stock Exchange,LSE,Europe/London
JPMF.L,USD,JPM ETF(IR)/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
SUSC.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
