ticker,currency,company_name,exchange,exchange_short,timezone
JPST,USD,JPMorgan Ultra-Short Income ETF,BATS Global Markets,BATS,America/New_York
QUAL,USD,iShares Edge MSCI USA Quality Factor ETF,BATS Global Markets,BATS,America/New_York
EWGS,USD,iShares MSCI Germany Small-Cap ETF,BATS Global Markets,BATS,America/New_York
REM,USD,iShares Mortgage Real Estate Capped ETF,BATS Global Markets,BATS,America/New_York
QXMI,USD,QUANTX Risk Managed Multi-Asset Inc ETF,BATS Global Markets,BATS,America/New_York
LVUS,USD,Hartford Multifactor Low Volatility US Equity ETF,BATS Global Markets,BATS,America/New_York
LVHI,USD,Legg Mason International Low Volatility High Dividend ETF,BATS Global Markets,BATS,America/New_York
GSEW,USD,Goldman Sachs Equal Weight U.S. Large Cap Equity ETF,BATS Global Markets,BATS,America/New_York
DTEC,USD,ALPS Disruptive Technologies ETF,BATS Global Markets,BATS,America/New_York
TAIL,USD,Cambria Tail Risk ETF,BATS Global Markets,BATS,America/New_York
ACES,USD,ALPS Clean Energy ETF,BATS Global Markets,BATS,America/New_York
CNSF,USD,iShares Edge MSCI Mltfct Cnsmr Stpls ETF,BATS Global Markets,BATS,America/New_York
PBSM,USD,Invesco PureBeta MSCI USA Small Cap ETF,BATS Global Markets,BATS,America/New_York
FFTI,USD,FormulaFolios Tactical Income ETF,BATS Global Markets,BATS,America/New_York
SMMV,USD,iShares Edge MSCI Min Vol USA Small-Cap ETF,BATS Global Markets,BATS,America/New_York
EFAD,USD,ProShares MSCI EAFE Dividend Growers ETF,BATS Global Markets,BATS,America/New_York
IFRA,USD,iShares U.S. Infrastructure ETF,BATS Global Markets,BATS,America/New_York
NUDM,USD,Nuveen ESG International Developed Markets Equity ETF,BATS Global Markets,BATS,America/New_York
IGE,USD,iShares North American Natural Resources ETF,BATS Global Markets,BATS,America/New_York
EMHY,USD,iShares Emerging Markets High Yield Bond ETF,BATS Global Markets,BATS,America/New_York
PTLC,USD,Pacer Trendpilot US Large Cap ETF,BATS Global Markets,BATS,America/New_York
DDWM,USD,WisdomTree Dynamic Currency Hedged International Equity Fund,BATS Global Markets,BATS,America/New_York
XUSA,USD,QuantX Dynamic Beta US Equity ETF,BATS Global Markets,BATS,America/New_York
FYLD,USD,Cambria Foreign Shareholder Yield ETF,BATS Global Markets,BATS,America/New_York
IVAL,USD,Alpha Architect International Quantitative Value ETF,BATS Global Markets,BATS,America/New_York
WFHY,USD,WisdomTree Fundamental U.S. High Yield Corporate Bond Fund,BATS Global Markets,BATS,America/New_York
IGEB,USD,iShares Edge Investment Grade Enhanced Bond ETF,BATS Global Markets,BATS,America/New_York
IEFA,USD,iShares Core MSCI EAFE ETF,BATS Global Markets,BATS,America/New_York
CNDF,USD,iShares Edge MSCI Mltfct Cnsmr Discr ETF,BATS Global Markets,BATS,America/New_York
HYHG,USD,ProShares High Yield—Interest Rate Hedged,BATS Global Markets,BATS,America/New_York
CEFS,USD,Saba Closed-End Funds ETF,BATS Global Markets,BATS,America/New_York
HEFA,USD,iShares Currency Hedged MSCI EAFE ETF,BATS Global Markets,BATS,America/New_York
DIVB,USD,iShares U.S. Dividend and Buyback ETF,BATS Global Markets,BATS,America/New_York
EWUS,USD,iShares MSCI United Kingdom Small-Cap ETF,BATS Global Markets,BATS,America/New_York
VXZB,USD,iPath Series B S&P 500 VIX Mid-Term Futures ETN,BATS Global Markets,BATS,America/New_York
OMFL,USD,Oppenheimer Russell 1000 Dynamic Multifactor ETF,BATS Global Markets,BATS,America/New_York
SFIG,USD,WisdomTree Fundamental U.S. Short-Term Corporate Bond Fund,BATS Global Markets,BATS,America/New_York
IZRL,USD,ARK Israeli Innovation ETF Hedged,BATS Global Markets,BATS,America/New_York
RVRS,USD,Reverse Cap Weighted U.S. Large Cap ETF,BATS Global Markets,BATS,America/New_York
COWZ,USD,Pacer US Cash Cows 100 ETF,BATS Global Markets,BATS,America/New_York
TTAC,USD,TrimTabs All Cap U.S. Free-Cash-Flow ETF,BATS Global Markets,BATS,America/New_York
GCOW,USD,Pacer Global Cash Cows Dividend ETF,BATS Global Markets,BATS,America/New_York
ITB,USD,iShares U.S. Home Construction ETF,BATS Global Markets,BATS,America/New_York
MLQD,USD,iShares 5-10 Year Investment Grade Corporate Bond ETF,BATS Global Markets,BATS,America/New_York
PFFD,USD,Global X U.S. Preferred ETF,BATS Global Markets,BATS,America/New_York
ICSH,USD,iShares Ultra Short-Term Bond ETF,BATS Global Markets,BATS,America/New_York
HEUV,USD,iShares Edge MSCI Min Vol Eurp CcyH ETF,BATS Global Markets,BATS,America/New_York
ERGF,USD,iShares Edge MSCI Multifactor Energy ETF,BATS Global Markets,BATS,America/New_York
IGRO,USD,iShares International Dividend Growth ETF,BATS Global Markets,BATS,America/New_York
FLOT,USD,iShares Floating Rate Bond ETF,BATS Global Markets,BATS,America/New_York
AGT,USD,iShares MSCI Argentina and Global Exposure ETF,BATS Global Markets,BATS,America/New_York
OVLU,USD,Oppenheimer Russell 1000 Value Factor ETF,BATS Global Markets,BATS,America/New_York
HACV,USD,iShares Edge MSCI Min Vol Glbl CcyH ETF,BATS Global Markets,BATS,America/New_York
ACSI,USD,American Customer Satisfaction ETF,BATS Global Markets,BATS,America/New_York
PREF,USD,Principal Spectrum Preferred Securities Active ETF,BATS Global Markets,BATS,America/New_York
WYDE,USD,ProShares CDS Short North American HY Credit ETF,BATS Global Markets,BATS,America/New_York
FFSG,USD,FormulaFolios Smart Growth ETF,BATS Global Markets,BATS,America/New_York
JPGB,USD,JPMorgan Global Bond Opportunities ETF,BATS Global Markets,BATS,America/New_York
WLDR,USD,Affinity World Leaders Equity ETF,BATS Global Markets,BATS,America/New_York
EMGF,USD,iShares Edge MSCI Multifactor Emerging Markets ETF,BATS Global Markets,BATS,America/New_York
EPRF,USD,Innovator S&amp;P Investment Grade Preferred ETF,BATS Global Markets,BATS,America/New_York
SFHY,USD,WisdomTree Fundamental U.S. Short-Term High Yield Corporate Bond Fund,BATS Global Markets,BATS,America/New_York
LLQD,USD,iShares 10+ Year Investment Grade Corporate Bond ETF,BATS Global Markets,BATS,America/New_York
PBDM,USD,Invesco PureBeta FTSE Developed ex-North America ETF,BATS Global Markets,BATS,America/New_York
IPFF,USD,iShares International Preferred Stock ETF,BATS Global Markets,BATS,America/New_York
LVHB,USD,Innovator Lunt Low Vol/High Beta Tactical ETF,BATS Global Markets,BATS,America/New_York
FTVA,USD,Aptus Fortified Value ETF,BATS Global Markets,BATS,America/New_York
CEMB,USD,iShares J.P. Morgan EM Corporate Bond ETF,BATS Global Markets,BATS,America/New_York
DYB,USD,WisdomTree Dynamic Bearish U.S. Equity Fund,BATS Global Markets,BATS,America/New_York
PSMB,USD,Invesco Balanced Multi-Asset Allocation ETF,BATS Global Markets,BATS,America/New_York
INDA,USD,iShares MSCI India ETF,BATS Global Markets,BATS,America/New_York
IFIX,USD,Xtrackers Barclays International Corporate Bond Hedged ETF,BATS Global Markets,BATS,America/New_York
GRMY,USD,Xtrackers Germany Equity ETF,BATS Global Markets,BATS,America/New_York
STOT,USD,SPDR DoubleLine Short Duration Total Return Tactical ETF,BATS Global Markets,BATS,America/New_York
IEO,USD,iShares U.S. Oil & Gas Exploration & Production ETF,BATS Global Markets,BATS,America/New_York
DFND,USD,Reality Shares Divcon Dividend Defender ETF,BATS Global Markets,BATS,America/New_York
ICVT,USD,iShares Convertible Bond ETF,BATS Global Markets,BATS,America/New_York
OVOL,USD,Oppenheimer Russell 1000 Low Volatility Factor ETF,BATS Global Markets,BATS,America/New_York
DYLS,USD,WisdomTree Dynamic Long/Short U.S. Equity Fund,BATS Global Markets,BATS,America/New_York
ENOR,USD,iShares MSCI Norway ETF,BATS Global Markets,BATS,America/New_York
FNCF,USD,iShares Edge MSCI Multifactor Fincls ETF,BATS Global Markets,BATS,America/New_York
PAVE,USD,Global X U.S. Infrastructure Development ETF,BATS Global Markets,BATS,America/New_York
VMOT,USD,Alpha Architect Value Momentum Trend ETF,BATS Global Markets,BATS,America/New_York
WFIG,USD,WisdomTree Fundamental U.S. Corporate Bond Fund,BATS Global Markets,BATS,America/New_York
EURZ,USD,Xtrackers Eurozone Equity ETF,BATS Global Markets,BATS,America/New_York
SECT,USD,Main Sector Rotation ETF,BATS Global Markets,BATS,America/New_York
VXXB,USD,iPath Series B S&P 500 VIX Short-Term Futures ETN,BATS Global Markets,BATS,America/New_York
PSMG,USD,Invesco Growth Multi-Asset Allocation ETF,BATS Global Markets,BATS,America/New_York
PEX,USD,ProShares Global Listed Private Equity ETF,BATS Global Markets,BATS,America/New_York
MAGA,USD,Point Bridge GOP Stock Tracker ETF,BATS Global Markets,BATS,America/New_York
VLUE,USD,iShares Edge MSCI USA Value Factor ETF,BATS Global Markets,BATS,America/New_York
HEEM,USD,iShares Currency Hedged MSCI Emerging Markets ETF,BATS Global Markets,BATS,America/New_York
OILK,USD,ProShares K-1 Free Crude Oil Strategy ETF,BATS Global Markets,BATS,America/New_York
HYIH,USD,Xtrackers High Yield Corporate Bond - Interest Rate Hedged ETF,BATS Global Markets,BATS,America/New_York
SPMV,USD,Invesco S&P 500 Minimum Variance ETF,BATS Global Markets,BATS,America/New_York
SMMD,USD,iShares Russell 2500 ETF,BATS Global Markets,BATS,America/New_York
EFV,USD,iShares MSCI EAFE Value ETF,BATS Global Markets,BATS,America/New_York
QXGG,USD,QUANTX Risk Managed Growth ETF,BATS Global Markets,BATS,America/New_York
FLQL,USD,Franklin LibertyQ U.S. Equity ETF,BATS Global Markets,BATS,America/New_York
GVI,USD,iShares Intermediate Government/Credit Bond ETF,BATS Global Markets,BATS,America/New_York
MTUM,USD,iShares Edge MSCI USA Momentum Factor ETF,BATS Global Markets,BATS,America/New_York
MRGR,USD,ProShares Merger ETF,BATS Global Markets,BATS,America/New_York
PTNQ,USD,Pacer Trendpilot 100 ETF,BATS Global Markets,BATS,America/New_York
FLQM,USD,Franklin LibertyQ U.S. Mid Cap Equity ETF,BATS Global Markets,BATS,America/New_York
CWAI,USD,CWA Income ETF,BATS Global Markets,BATS,America/New_York
PTMC,USD,Pacer Trendpilot US Mid Cap ETF,BATS Global Markets,BATS,America/New_York
NUSC,USD,Nuveen ESG Small-Cap ETF,BATS Global Markets,BATS,America/New_York
RGLB,USD,Oppenheimer Global Revenue ETF,BATS Global Markets,BATS,America/New_York
REEM,USD,Oppenheimer Emerging Markets Revenue ETF,BATS Global Markets,BATS,America/New_York
IDHD,USD,Invesco S&P International Developed High Dividend Low Volatility ETF,BATS Global Markets,BATS,America/New_York
TBLU,USD,Tortoise Global Water ESG Fund,BATS Global Markets,BATS,America/New_York
FANZ,USD,ProSports Sponsors ETF,BATS Global Markets,BATS,America/New_York
SLVP,USD,iShares MSCI Global Silver Miners ETF,BATS Global Markets,BATS,America/New_York
EDEN,USD,iShares MSCI Denmark ETF,BATS Global Markets,BATS,America/New_York
IGVT,USD,Xtrackers Barclays International Treasury Bond Hedged ETF,BATS Global Markets,BATS,America/New_York
OQAL,USD,Oppenheimer Russell 1000 Quality Factor ETF,BATS Global Markets,BATS,America/New_York
PBUS,USD,Invesco PureBeta MSCI USA ETF,BATS Global Markets,BATS,America/New_York
SMDV,USD,ProShares Russell 2000 Dividend Growers ETF,BATS Global Markets,BATS,America/New_York
OMFS,USD,Oppenheimer Russell 2000 Dynamic Multifactor ETF,BATS Global Markets,BATS,America/New_York
OSIZ,USD,Oppenheimer Russell 1000 Size Factor ETF,BATS Global Markets,BATS,America/New_York
ACWV,USD,iShares Edge MSCI Min Vol Global ETF,BATS Global Markets,BATS,America/New_York
MATF,USD,iShares Edge MSCI Multifactor Matrls ETF,BATS Global Markets,BATS,America/New_York
PWS,USD,Pacer WealthShield ETF,BATS Global Markets,BATS,America/New_York
PBND,USD,Invesco PureBeta US Aggregate Bond ETF,BATS Global Markets,BATS,America/New_York
PRNT,USD,The 3D Printing ETF,BATS Global Markets,BATS,America/New_York
EFNL,USD,iShares MSCI Finland ETF,BATS Global Markets,BATS,America/New_York
PSMC,USD,Invesco Conservative Multi-Asset Allocation ETF,BATS Global Markets,BATS,America/New_York
ESG,USD,FlexShares STOXX US ESG Impact Index Fund,BATS Global Markets,BATS,America/New_York
QVAL,USD,Alpha Architect U.S. Quantitative Value ETF,BATS Global Markets,BATS,America/New_York
TTAI,USD,TrimTabs All Cap International Free-Cash-Flow ETF,BATS Global Markets,BATS,America/New_York
EEMV,USD,iShares Edge MSCI Min Vol Emerging Markets ETF,BATS Global Markets,BATS,America/New_York
CBOE,USD,"Cboe Global Markets, Inc.",BATS Global Markets,BATS,America/New_York
USMV,USD,iShares Edge MSCI Min Vol USA ETF,BATS Global Markets,BATS,America/New_York
EFAV,USD,iShares Edge MSCI Min Vol EAFE ETF,BATS Global Markets,BATS,America/New_York
SHAG,USD,WisdomTree Yield Enhanced U.S. Short-Term Aggregate Bond Fund,BATS Global Markets,BATS,America/New_York
LEAD,USD,Reality Shares Divcon Leaders Dividend ETF,BATS Global Markets,BATS,America/New_York
OMOM,USD,Oppenheimer Russell 1000 Momentum Factor ETF,BATS Global Markets,BATS,America/New_York
HEFV,USD,iShares Edge MSCI Min Vol EAFE CcyH ETF,BATS Global Markets,BATS,America/New_York
ALFA,USD,ETF Series Solutions,BATS Global Markets,BATS,America/New_York
PSMM,USD,Invesco Moderately Conservative Multi-Asset Allocation ETF,BATS Global Markets,BATS,America/New_York
TRVV.BA,USD,TRAVELERS CO CEDEAR,Buenos Aires Stock Exchange,BCBA,America/Argentina/Buenos_Aires
2821.HK,USD,ABF PAIF ETF,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4601.HK,USD,Bank of China Ltd Preference Shares,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4606.HK,USD,CHINA CONSTR.BK/4.65 BD PERP JR,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
1940.HK,USD,China Gas Industry Investment Holdings Co. Ltd.,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4605.HK,USD,"Bank of Communications Co., Ltd. Preference Shares",Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4611.HK,USD,BK OF QINGDAO C/5.5 BD PERP JR SUB,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4607.HK,USD,China Cinda Asset Management Co Ltd Preference Shares,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9010.HK,USD,ISHARESMSCI ACAEJI ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
0770.HK,USD,Shanghai Int. Shanghai Growth Invt. Ltd.,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9847.HK,USD,ISHARESFTSE100I ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9140.HK,USD,VES-VS&P500IETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9146.HK,USD,ISHARESDAXI ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9181.HK,USD,PES-PAITETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9186.HK,USD,CKET-CKCCIIF/UT USD USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4612.HK,USD,POSTAL SAVINGS BANK of CHINA Co Ltd Preferred Shares,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9170.HK,USD,ISHARESCOREK200I ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9846.HK,USD,ISHARESCORECSI300I ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4614.HK,USD,CHINA MERCHANTS/ZERO CPNBD PERP SU,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
4603.HK,USD,ICBC USDPREF1 PRF,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9155.HK,USD,ISHARESEURS50I ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
1945.HK,USD,Zero2IPO Holdings Inc.,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9101.HK,USD,VGES-VGFDEI ETF/UT HKD USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9126.HK,USD,VGES-VGFJIETF/UT HKD USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9805.HK,USD,VGES-VGFAEJIETF/UT HKD USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9836.HK,USD,ISHARESCSPBSSI ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9810.HK,USD,PDJEAT100ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9115.HK,USD,ISHARESCOREHSI ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9834.HK,USD,ISHSNDAQ100IETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9081.HK,USD,VALUE GOLD ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9169.HK,USD,VGES-VGTCIETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9074.HK,USD,ISHARESMSCI TWI ETF/UT USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9167.HK,USD,ICBCCSOPS&PNCSF/UT HKD USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9199.HK,USD,CSOPC5YTBETF/UT CNY USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
9085.HK,USD,VGFAEJHDYIETF/UT HKD USD,Hong Kong Stock Exchange,HKEX,Asia/Hong_Kong
SRG-A,USD,Seritage Growth Properties Preferred Shares Series A,New York Stock Exchange,NYSE,America/New_York
CAI,USD,"CAI International, Inc.",New York Stock Exchange,NYSE,America/New_York
TCS,USD,"The Container Store Group, Inc.",New York Stock Exchange,NYSE,America/New_York
UTL,USD,Unitil Corporation,New York Stock Exchange,NYSE,America/New_York
UZB,USD,United States Cellular Corporation SR NT 120163,New York Stock Exchange,NYSE,America/New_York
FCAU,USD,Fiat Chrysler Automobiles N.V.,New York Stock Exchange,NYSE,America/New_York
PRH,USD,"Prudential Financial, Inc. JR SUB NT 53",New York Stock Exchange,NYSE,America/New_York
BP,USD,BP p.l.c.,New York Stock Exchange,NYSE,America/New_York
AMH,USD,American Homes 4 Rent,New York Stock Exchange,NYSE,America/New_York
GNL-A,USD,Global Net Lease Inc Preferred Shares Series A,New York Stock Exchange,NYSE,America/New_York
IGD,USD,Voya Global Equity Dividend and Premium Opportunity Fund,New York Stock Exchange,NYSE,America/New_York
ANET,USD,"Arista Networks, Inc.",New York Stock Exchange,NYSE,America/New_York
SGZA,USD,"Selective Insurance Group, Inc. SR NT 43",New York Stock Exchange,NYSE,America/New_York
AMRC,USD,"Ameresco, Inc.",New York Stock Exchange,NYSE,America/New_York
SSWA,USD,Seaspan Corporation 7.125% NT DUE 27,New York Stock Exchange,NYSE,America/New_York
WFC-PN,USD,Wells Fargo & Company,New York Stock Exchange,NYSE,America/New_York
HMC,USD,"Honda Motor Co., Ltd.",New York Stock Exchange,NYSE,America/New_York
FEDU,USD,Four Seasons Education (Cayman) Inc.,New York Stock Exchange,NYSE,America/New_York
PH,USD,Parker-Hannifin Corporation,New York Stock Exchange,NYSE,America/New_York
CTX,USD,1692817,New York Stock Exchange,NYSE,America/New_York
BE,USD,Bloom Energy Corporation,New York Stock Exchange,NYSE,America/New_York
MMU,USD,Western Asset Managed Municipals Fund Inc.,New York Stock Exchange,NYSE,America/New_York
AWF,USD,AllianceBernstein Global High Income Fund,New York Stock Exchange,NYSE,America/New_York
BML-H,USD,BK AMER CORP/PFD SH S 2,New York Stock Exchange,NYSE,America/New_York
GAM-B,USD,GEN AMERN INVES/5.95% PFD SH S B,New York Stock Exchange,NYSE,America/New_York
BAC,USD,Bank of America Corporation,New York Stock Exchange,NYSE,America/New_York
BDC,USD,Belden Inc.,New York Stock Exchange,NYSE,America/New_York
CLNY,USD,"Colony Capital, Inc.",New York Stock Exchange,NYSE,America/New_York
GOLD,USD,Barrick Gold Corporation,New York Stock Exchange,NYSE,America/New_York
AEB,USD,Aegon N.V. PERP CAP FLTG RT,New York Stock Exchange,NYSE,America/New_York
NYCB-A,USD,NY CMNTY BANCOR/SH SH,New York Stock Exchange,NYSE,America/New_York
OOMA,USD,"Ooma, Inc.",New York Stock Exchange,NYSE,America/New_York
REZI,USD,"Resideo Technologies, Inc.",New York Stock Exchange,NYSE,America/New_York
CBB,USD,Cincinnati Bell Inc.,New York Stock Exchange,NYSE,America/New_York
CXO,USD,Concho Resources Inc.,New York Stock Exchange,NYSE,America/New_York
BF.B,USD,Brown-Forman Corporation Class B,New York Stock Exchange,NYSE,America/New_York
GPK,USD,Graphic Packaging Holding Company,New York Stock Exchange,NYSE,America/New_York
WPP,USD,WPP plc,New York Stock Exchange,NYSE,America/New_York
MTG,USD,MGIC Investment Corporation,New York Stock Exchange,NYSE,America/New_York
TX,USD,Ternium S.A.,New York Stock Exchange,NYSE,America/New_York
ABG,USD,"Asbury Automotive Group, Inc.",New York Stock Exchange,NYSE,America/New_York
FRC-F,USD,FRB DS RP 1 40 SRS F NON CM PRP PRF,New York Stock Exchange,NYSE,America/New_York
AR,USD,Antero Resources Corporation,New York Stock Exchange,NYSE,America/New_York
DAVA,USD,Endava plc,New York Stock Exchange,NYSE,America/New_York
FLR,USD,Fluor Corporation,New York Stock Exchange,NYSE,America/New_York
NSA,USD,National Storage Affiliates Trust,New York Stock Exchange,NYSE,America/New_York
CLNY-E,USD,COLONY NORTHSTA/8.75% RED PFD sh S,New York Stock Exchange,NYSE,America/New_York
USG,USD,USG Corporation,New York Stock Exchange,NYSE,America/New_York
WAAS,USD,AquaVenture Holdings Limited,New York Stock Exchange,NYSE,America/New_York
GS-K,USD,GOLDMAN SACHS G/SH SH,New York Stock Exchange,NYSE,America/New_York
FLT,USD,"FleetCor Technologies, Inc.",New York Stock Exchange,NYSE,America/New_York
MITT-A,USD,AG Mortgage Investment Trust Inc 8.25% Cum Redm Series A,New York Stock Exchange,NYSE,America/New_York
AWP,USD,Aberdeen Global Premier Properties Fund,New York Stock Exchange,NYSE,America/New_York
OAK-B,USD,Oaktree Capital Group LLC Preferred Shares Series B,New York Stock Exchange,NYSE,America/New_York
SPXX,USD,Nuveen S&P 500 Dynamic Overwrite Fund,New York Stock Exchange,NYSE,America/New_York
NNN,USD,"National Retail Properties, Inc.",New York Stock Exchange,NYSE,America/New_York
ALLY,USD,Ally Financial Inc.,New York Stock Exchange,NYSE,America/New_York
ETG,USD,Eaton Vance Tax-Advantaged Global Dividend Income Fund,New York Stock Exchange,NYSE,America/New_York
BIPC,USD,Brookfield Infrastructure Corporation,New York Stock Exchange,NYSE,America/New_York
MEG,USD,"Montrose Environmental Group, Inc.",New York Stock Exchange,NYSE,America/New_York
BZH,USD,"Beazer Homes USA, Inc.",New York Stock Exchange,NYSE,America/New_York
CMO,USD,Capstead Mortgage Corporation,New York Stock Exchange,NYSE,America/New_York
ABR-A,USD,ARBOR RLTY 8.250% SRS A CUM RED PRF,New York Stock Exchange,NYSE,America/New_York
AFL,USD,Aflac Incorporated,New York Stock Exchange,NYSE,America/New_York
DFIN,USD,"Donnelley Financial Solutions, Inc.",New York Stock Exchange,NYSE,America/New_York
EVRI,USD,Everi Holdings Inc.,New York Stock Exchange,NYSE,America/New_York
OGS,USD,"ONE Gas, Inc.",New York Stock Exchange,NYSE,America/New_York
SPOT,USD,Spotify Technology S.A.,New York Stock Exchange,NYSE,America/New_York
AAP,USD,"Advance Auto Parts, Inc.",New York Stock Exchange,NYSE,America/New_York
ZOES,USD,"Zoe's Kitchen, Inc.",New York Stock Exchange,NYSE,America/New_York
COG,USD,Cabot Oil & Gas Corporation,New York Stock Exchange,NYSE,America/New_York
CAI-A,USD,CAI International Inc Preferred Shares Series A,New York Stock Exchange,NYSE,America/New_York
AJG,USD,Arthur J. Gallagher & Co.,New York Stock Exchange,NYSE,America/New_York
KRC,USD,Kilroy Realty Corporation,New York Stock Exchange,NYSE,America/New_York
NTZ,USD,Natuzzi S.p.A.,New York Stock Exchange,NYSE,America/New_York
ARI,USD,"Apollo Commercial Real Estate Finance, Inc.",New York Stock Exchange,NYSE,America/New_York
CNP,USD,"CenterPoint Energy, Inc.",New York Stock Exchange,NYSE,America/New_York
MA,USD,Mastercard Incorporated,New York Stock Exchange,NYSE,America/New_York
POR,USD,Portland General Electric Company,New York Stock Exchange,NYSE,America/New_York
TDY,USD,Teledyne Technologies Incorporated,New York Stock Exchange,NYSE,America/New_York
EPAC,USD,Actuant Corporation,New York Stock Exchange,NYSE,America/New_York
CBK,USD,Christopher & Banks Corporation,New York Stock Exchange,NYSE,America/New_York
PEB-D,USD,PBLBROK HTL 6.375 CUM REDM SRS D PRF,New York Stock Exchange,NYSE,America/New_York
TPZ,USD,"Tortoise Power and Energy Infrastructure Fund, Inc.",New York Stock Exchange,NYSE,America/New_York
NEX,USD,NexTier Oilfield Solutions Inc.,New York Stock Exchange,NYSE,America/New_York
ARW,USD,"Arrow Electronics, Inc.",New York Stock Exchange,NYSE,America/New_York
BRPM,USD,B. Riley Principal Merger Corp.,New York Stock Exchange,NYSE,America/New_York
AMH-H,USD,AMERN HOMES 4 R/PFD SH S H,New York Stock Exchange,NYSE,America/New_York
MMI,USD,"Marcus & Millichap, Inc.",New York Stock Exchange,NYSE,America/New_York
SMM,USD,Salient Midstream & MLP Fund,New York Stock Exchange,NYSE,America/New_York
CTR,USD,ClearBridge Energy MLP Total Return Fund Inc.,New York Stock Exchange,NYSE,America/New_York
CUB,USD,Cubic Corporation,New York Stock Exchange,NYSE,America/New_York
MVT,USD,"BlackRock MuniVest Fund II, Inc.",New York Stock Exchange,NYSE,America/New_York
JW.A,USD,JOHN WILEY & SONS  -CL A Common Stock,New York Stock Exchange,NYSE,America/New_York
SITC,USD,SITE Centers Corp.,New York Stock Exchange,NYSE,America/New_York
SUI,USD,"Sun Communities, Inc.",New York Stock Exchange,NYSE,America/New_York
AQ,USD,Aquantia Corp.,New York Stock Exchange,NYSE,America/New_York
TYG,USD,Tortoise Energy Infrastructure Corporation,New York Stock Exchange,NYSE,America/New_York
BMA,USD,Banco Macro S.A.,New York Stock Exchange,NYSE,America/New_York
IGI,USD,Western Asset Investment Grade Defined Opportunity Trust Inc.,New York Stock Exchange,NYSE,America/New_York
ITCB,USD,Itaú CorpBanca,New York Stock Exchange,NYSE,America/New_York
REX,USD,REX American Resources Corporation,New York Stock Exchange,NYSE,America/New_York
WFC-PZ,USD,Wells Fargo & Company,New York Stock Exchange,NYSE,America/New_York
TNET,USD,"TriNet Group, Inc.",New York Stock Exchange,NYSE,America/New_York
MHLA,USD,"Maiden Holdings, Ltd. 6.625 NT 2046",New York Stock Exchange,NYSE,America/New_York
MYE,USD,"Myers Industries, Inc.",New York Stock Exchange,NYSE,America/New_York
TRC,USD,Tejon Ranch Co.,New York Stock Exchange,NYSE,America/New_York
H,USD,Hyatt Hotels Corporation,New York Stock Exchange,NYSE,America/New_York
JBT,USD,John Bean Technologies Corporation,New York Stock Exchange,NYSE,America/New_York
NCV,USD,AllianzGI Convertible & Income Fund,New York Stock Exchange,NYSE,America/New_York
SDR,USD,SandRidge Mississippian Trust II,New York Stock Exchange,NYSE,America/New_York
BTE,USD,Baytex Energy Corp.,New York Stock Exchange,NYSE,America/New_York
MVC,USD,"MVC Capital, Inc.",New York Stock Exchange,NYSE,America/New_York
PPG,USD,"PPG Industries, Inc.",New York Stock Exchange,NYSE,America/New_York
AFGE,USD,"American Financial Group, Inc.",New York Stock Exchange,NYSE,America/New_York
WAT,USD,Waters Corporation,New York Stock Exchange,NYSE,America/New_York
